epoch,train_loss,train_acc,train_roc_auc,train_precision,train_recall,train_f1,test_loss,test_acc,test_roc_auc,test_precision,test_recall,test_f1,lr
1,0.22325324362817905,0.9106646580608296,0.9707120728319039,0.9151248782798642,0.904908135116848,0.9099878308886068,0.17490156046275435,0.9351488576044311,0.9827267347595336,0.9245747538048343,0.9483471074380165,0.9363100634632819,0.001
2,0.17344183318229964,0.9319628061608789,0.9812715762746717,0.9365679479101029,0.9266658007533446,0.9315905618740452,0.17214062360340152,0.9360720055388876,0.9859117967270257,0.914161220043573,0.9632690541781451,0.9380728817348536,0.001
3,0.16394710042133406,0.9358717955377782,0.9832034566832464,0.9405846721095602,0.9301489738514429,0.93533771573737,0.1560817739829935,0.9428802215555042,0.9858997057689316,0.9418631265735866,0.9446740128558311,0.9432664756446991,0.001
4,0.1585447102611167,0.9383652372665645,0.9842739179897255,0.9424784590656373,0.9331350603949805,0.9377834875855379,0.1555407015157157,0.9411493191783984,0.9846225916622457,0.9344780840488025,0.9494949494949495,0.9419266681849237,0.001
5,0.14787343599569008,0.9431703072647464,0.9862853769331226,0.9476730420141538,0.9378531073446328,0.9427375032713949,0.14657569516064792,0.9434571890145396,0.986473333844669,0.9377264492753623,0.9506427915518825,0.944140446876425,0.001
6,0.15022728026840937,0.9411443858601075,0.9858346124712675,0.9452165946865594,0.9367331586729267,0.9409557559018188,0.1436915098336236,0.9451880913916455,0.9864696852515878,0.9573415036530757,0.9325068870523416,0.9447610187231074,0.001
7,0.1483928208395201,0.9421313732110854,0.9862474839826686,0.9473421315526579,0.9362658490958221,0.9417714240911585,0.15320672441659303,0.9418416801292407,0.9853606194831674,0.9335884736605132,0.952020202020202,0.9427142532393726,0.001
8,0.1502914723255291,0.9425469468325498,0.9858187311628224,0.9465959513744847,0.9378300340764248,0.9421926042075003,0.1382560763379623,0.947957535195015,0.9876815507958727,0.9514450867052023,0.9446740128558311,0.9480474599700496,0.001
9,0.1452905876917134,0.9439754811563336,0.9868649084813282,0.9476358466722831,0.9393267223382046,0.9434629901446844,0.13628327204235668,0.9485345026540503,0.9878157231458223,0.9490124023886082,0.9485766758494031,0.9487944890929966,0.001
10,0.1489015769517839,0.9424560401028544,0.986082466294421,0.9468113118121018,0.937162813729834,0.9419623560847185,0.15465376526117325,0.9389568428340641,0.9851060968256707,0.9299033924960683,0.9501836547291093,0.9399341432951062,0.001
11,0.14178492056372566,0.9449235084802993,0.9873719044896013,0.9486666491168031,0.9402264662909622,0.944427700976217,0.13798517753081074,0.9454188783752596,0.9870859778975156,0.947041215749482,0.9442148760330579,0.9456259340154041,0.001
12,0.14125338205451632,0.9447546816965793,0.9874284804917854,0.94871127987724,0.9411233519956655,0.9449020826857321,0.13202697578175315,0.9511885529656128,0.9878560440941795,0.9582847821020741,0.9439853076216712,0.9510812998727882,0.001
13,0.13817733013096486,0.9453131087504221,0.988027640791292,0.948896081682061,0.9408004591943226,0.944830929266727,0.13397965053546018,0.9494576505885068,0.9877551884591538,0.9520073834794647,0.9471992653810836,0.9495972382048331,0.001
14,0.13758114887698616,0.947118256668658,0.9881346540487259,0.9505986465382613,0.9438184825304942,0.9471964313501737,0.14150757856410126,0.9464574198015232,0.9871659539925729,0.9386834986474302,0.9559228650137741,0.9472247497725205,0.001
15,0.1353506387613627,0.9476247370198176,0.9883918078604026,0.9509816736817338,0.9439975086936212,0.947476720713681,0.14038732018450212,0.9466882067851373,0.9872227335578949,0.9425,0.952020202020202,0.9472361809045227,0.001
16,0.13470817789261444,0.948364977533051,0.9884140711869546,0.952696335078534,0.9437529173798039,0.9482035382090097,0.12612194118314776,0.9524578813754904,0.9892717514738185,0.9575406032482598,0.9474288337924701,0.9524578813754904,0.001
17,0.1332517714178052,0.948481857614088,0.9887959269380426,0.951090220655438,0.9456329836950877,0.9483537514158128,0.12936008657360898,0.9507269789983845,0.9884939353458654,0.9531718569780854,0.9485766758494031,0.9508687147623979,0.001
18,0.13155969046781035,0.9492870315056752,0.9890332803626288,0.9520929867274013,0.946025387576735,0.9490494891901413,0.13639632946458355,0.9484191091622433,0.9871738104521274,0.9481770236184361,0.949265381083563,0.9487208902145233,0.001
19,0.13181213533020206,0.9489753512895769,0.9890572969285825,0.9516285661793654,0.9455977467139579,0.9486035711949767,0.1274757071815688,0.9525732748672975,0.9890047916413663,0.9560693641618497,0.949265381083563,0.9526552240525286,0.001
20,0.1311422305232356,0.9496636451001272,0.9891150856487823,0.9520676443387501,0.9458693198225395,0.9489583607679949,0.13257750175122557,0.949688437572121,0.9883417597191063,0.9464692482915718,0.9538567493112947,0.9501486393780014,0.001
21,0.12835035125221259,0.9509493259915327,0.9896499042388999,0.9537699504678041,0.9475863146383378,0.9506680772696995,0.13238895665211925,0.9507269789983845,0.9879942112540723,0.9482089892767511,0.9540863177226814,0.9511385742075752,0.001
22,0.12905619986326314,0.9503389522350069,0.9894813128177145,0.9529209800759507,0.9478913324708926,0.9503995019196846,0.13321266194869733,0.9494576505885068,0.9882793341557315,0.9438151336656094,0.9563820018365473,0.9500570125427594,0.0005
23,0.11748364127099746,0.9551699955845303,0.9912699821593465,0.9578854671190655,0.9529490582081476,0.955410886357178,0.1181181213850605,0.9577659819986153,0.9904407393913829,0.9548563611491108,0.9614325068870524,0.9581331503088538,0.0005
24,0.1168158719395849,0.9556245292330069,0.9913711860163341,0.9573097270965376,0.9533894989436345,0.9553455914062806,0.11896584279321391,0.957304408031387,0.9900947355861931,0.9592165898617512,0.9556932966023876,0.9574517019319227,0.0005
25,0.11528960560314386,0.9558063426923976,0.9916115360636361,0.9585682957393483,0.952871564632912,0.9557114411025938,0.1237518728935513,0.9560350796215094,0.9893953242613863,0.9633947307064584,0.9485766758494031,0.9559282822440717,0.0005
26,0.11482805645651391,0.9556245292330069,0.991623674128583,0.9585195640241512,0.9524700015583606,0.9554852073318482,0.12363982085010101,0.9531502423263328,0.9895828672721734,0.9538143382352942,0.9529384756657484,0.9533762057877814,0.0005
27,0.11412722147740278,0.956546583205631,0.9916747495712886,0.9587244472256988,0.9542458216547285,0.9564798917850268,0.1201307609805773,0.955458112162474,0.9900866660701084,0.9575841401567543,0.9536271808999082,0.9556015642972164,0.0005
28,0.11159464744452373,0.957858237448378,0.9921128914971505,0.9601024890190337,0.9552821206524283,0.9576862392259646,0.12347002815583656,0.9538426032771752,0.989570749682013,0.9513920584208124,0.9570707070707071,0.9542229343099108,0.0005
29,0.11330168185472952,0.9563777564219111,0.9918664971657545,0.9589315960912053,0.9537867399305375,0.9563522486583417,0.1265039653356733,0.9545349642280175,0.9892139066258451,0.9545663148233134,0.9550045913682277,0.9547854028000918,0.00025
30,0.10307567127425847,0.9611958130957637,0.9932038202050644,0.9636648804077899,0.9584535787640069,0.9610521650720821,0.12665251629619761,0.953496422801754,0.9898239940003281,0.9464648746329343,0.9618916437098255,0.9541159057269726,0.00025
31,0.10586355762838853,0.9604815459338718,0.9927968581402101,0.9621994027348457,0.958258328767838,0.9602248219070649,0.1208094682159095,0.9562658666051235,0.9900285016373394,0.9582853191979719,0.9545454545454546,0.956411730879816,0.00025
32,0.10043242411390817,0.962221760473754,0.9934874073685017,0.9648310846145801,0.9593375451732834,0.9620764728121293,0.12231710861469137,0.9569582275559658,0.9901139106739192,0.959824520895867,0.9543158861340679,0.9570622769655808,0.00025
33,0.09965986171411169,0.9617932001766187,0.9937115886715665,0.9646766819072502,0.9587152390102044,0.9616867218836277,0.12924378217551216,0.9530348488345257,0.989403127456808,0.9492605233219568,0.9577594123048668,0.9534910295966176,0.00025
